4F,-5.50,-4.40,-3.30,-2.20,-1.10,11.00,1.10,2.20,3.30,4.40,5.50
4Lz,-5.75,-4.60,-3.45,-2.30,-1.15,11.50,1.15,2.30,3.45,4.60,5.75
4A,-6.25,-5.00,-3.75,-2.50,-1.25,12.50,1.25,2.50,3.75,5.00,6.25
3A<,-3.20,-2.56,-1.92,-1.28,-0.64,6.40,0.64,1.28,1.92,2.56,3.20
4T<,-3.80,-3.04,-2.28,-1.52,-0.76,7.60,0.76,1.52,2.28,3.04,3.80
4S<,-3.88,-3.10,-2.33,-1.55,-0.78,7.76,0.78,1.55,2.33,3.10,3.88
4Lo<,-4.20,-3.36,-2.52,-1.68,-0.84,8.40,0.84,1.68,2.52,3.36,4.20
4F<,-4.40,-3.52,-2.64,-1.76,-0.88,8.80,0.88,1.76,2.64,3.52,4.40
4Fe,-4.40,-3.52,-2.64,-1.76,-0.88,8.80,0.88,1.76,2.64,3.52,4.40
4Lz<,-4.60,-3.68,-2.76,-1.84,-0.92,9.20,0.92,1.84,2.76,3.68,4.60
4Fe,-4.60,-3.68,-2.76,-1.84,-0.92,9.20,0.92,1.84,2.76,3.68,4.60
4F<e,-3.30,-2.64,-1.98,-1.32,-0.66,6.60,0.66,1.32,1.98,2.64,3.30
4Lz<e,-3.45,-2.76,-2.07,-1.38,-0.69,6.90,0.69,1.38,2.07,2.76,3.45
4A<,-5.00,-4.00,-3.00,-2.00,-1.00,10.00,1.00,2.00,3.00,4.00,5.00
USpB,-0.50,-0.40,-0.30,-0.20,-0.10,1.00,0.10,0.20,0.30,0.40,0.50
USp1,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
USp2,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
USp3,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
USp4,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
LSpB,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
LSp1,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
LSp2,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
LSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
LSp4,-1.35,-1.08,-0.81,-0.54,-0.27,2.70,0.27,0.54,0.81,1.08,1.35
CSpB,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
CSp1,-0.70,-0.56,-0.42,-0.28,-0.14,1.40,0.14,0.28,0.42,0.56,0.70
CSp2,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
CSp3,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
CSp4,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
SSpB,-0.55,-0.44,-0.33,-0.22,-0.11,1.10,0.11,0.22,0.33,0.44,0.55
SSp1,-0.65,-0.52,-0.39,-0.26,-0.13,1.30,0.13,0.26,0.39,0.52,0.65
SSp2,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
SSp3,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
SSp4,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
FUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
FUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
FUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
FUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
FLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
FLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
FLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FLSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FLSp2V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
FLSp3V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
FLSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FCSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
FCSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
FCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
FCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,0.28,0.56,0.84,1.12,1.40
FCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
FCSpBV,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
FCSp1V,-0.72,-0.57,-0.43,-0.29,-0.14,1.43,0.14,0.29,0.43,0.57,0.72
FCSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
FCSp3V,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
FCSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FSSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FSSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
FSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
FSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
FSSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FSSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
FSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,0.20,0.39,0.59,0.78,0.98
FSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
(F)CUSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CUSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
(F)CUSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
(F)CUSp3,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
(F)CUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
(F)CUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
(F)CUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
(F)CUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
(F)CUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
(F)CLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
(F)CLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
(F)CLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
(F)CLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
(F)CLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
(F)CLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
(F)CLSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CLSp2V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
(F)CLSp3V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
(F)CLSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
(F)CCSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
(F)CCSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
(F)CCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
(F)CCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,0.28,0.56,0.84,1.12,1.40
(F)CCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
(F)CCSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
(F)CCSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CCSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
(F)CCSp3V,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
(F)CCSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
(F)CSSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
(F)CSSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
(F)CSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
(F)CSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
(F)CSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
(F)CSSpBV,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
(F)CSSp1V,-0.72,-0.57,-0.43,-0.29,-0.14,1.43,0.14,0.29,0.43,0.57,0.72
(F)CSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
(F)CSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,0.20,0.39,0.59,0.78,0.98
(F)CSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
(F)CoSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CoSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
(F)CoSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
(F)CoSp3,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
(F)CoSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
(F)CoSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
(F)CoSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
(F)CoSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CoSp3V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,0.19,0.38,0.56,0.75,0.94
(F)CoSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
(F)CCoSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
(F)CCoSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
(F)CCoSp2,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
(F)CCoSp3,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
(F)CCoSp4,-1.75,-1.40,-1.05,-0.70,-0.35,3.50,0.35,0.70,1.05,1.40,1.75
(F)CCoSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
(F)CCoSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
(F)CCoSp2V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,0.19,0.38,0.56,0.75,0.94
(F)CCoSp3V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
(F)CCoSp4V,-1.32,-1.05,-0.79,-0.53,-0.26,2.63,0.26,0.53,0.79,1.05,1.32
StSqB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
StSq1,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
StSq2,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
StSq3,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
StSq4,-1.95,-1.56,-1.17,-0.78,-0.39,3.90,0.39,0.78,1.17,1.56,1.95
ChSq,-2.50,-2.00,-1.50,-1.00,-0.50,3.00,0.50,1.00,1.50,2.00,2.50
